,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,서울지역 시트,,,"   ※ 최종 업데이트일 : 2021년 6월  / 업장주소나 예약은 클릭시 이동됩니다(링크처리)  ㅣ 새로 추가된 신규업장 - 이요이요 4호점(마포), 스시유겐",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,색,지역(대분류),상세 지명,업장명,런치금액,디너금액,콜키지금액,전화번호,휴일정보,주차여부,가격특이사항,기타특이사항,1부/2부제 여부,예약방법,주소,SNS,참고리뷰 (포스팅)-런치,참고리뷰(포스팅)-디너,영상리뷰 (유투브) -런치,영상리뷰 (유투브) -디너,코멘트,일본어표기,업장명 의미,쉐프님 성함,쉐프님 경력,주류 비고란,1인스시야?,단체석,다찌 좌석수,업장오픈일,제로페이
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,강남,신논현역,스시히나타,"27,000",,,02-540-2462,일 휴무,불가,,단품추가가능,,통화,서울 강남구 학동로4길 24,http://www.instagram.com/hinata_hoon,,,,,,ひなた,,김태훈,김수사,소주0.5 / 병맥,2인,,,,ㅇ
,,강남,강남구청,와사이진,-,"58,000",병당 2만,02-511-2173,일 휴무,가능,,,디너2부,통화,서울 강남구 언주로 615 1층 상가 103호,https://instagram.com/wasyoku_wasaizin,,,,,,和彩 仁,다채로운 일본요리,송인섭,"스시타쿠, 사카에스시",하이볼1 / 생맥 1,O,-,9,2018.09,ㅇ
,,강남,역삼,스시츠루,"35,000","75,000",가게잔당 5천,050-6515-0993,일저녁/월런치,1시간 무료,,잔 지참시 콜키지 FREE,,,서울 강남구 테헤란로14길 8 강남역두산위브센티움 지하1층,-,,,,,,鶴,학(권위자),김민성,"코지마, 초희",소주 X / 에비스생 1.2,,,7,,-
,,강남,남부터미널,스시마카세(남부),"35,000","80,000",1병 FREE,02-598-7508,무휴,,,단체석,,네이버예약,서울 서초구 서초중앙로 42,,,,,,,まかせ,맡기다,,,,,,,,ㅇ
,,강남,강남역,닌스시,"35,000","80,000",1병 FREE,02-539-8003,무휴,가능,,한국식..?,,통화,서울 강남구 역삼로7길 17,https://www.instagram.com/lko1460/,,,,,,忍すし,참다?,,,소주 0.8 / 산토리생 1.1,,,,,-
,,강남,교대역,스시카이,평일3.5/휴일4,"80,000",병당 2만,02-588-6338,일 휴무,가능,,휴일가격 상이,,캐치테이블,서울 서초구 반포대로26길 29,,,,,,,かい,모임,,,소주0.8 / 에비스생 1.2,,,9?,,-
,,강남,서초역,스시도우,"40,000","70,000",병당 1 / 3,02-588-8011,월 휴무,문의(4자리),,1달치 예약,런치2부/디너2부,포잉예약(매월첫째 월요일),서울 서초구 서초대로42길 66,https://www.instagram.com/sushidowoo,,,,,,騰,도약하다,주정남,"스시코우지, 스시진수",소주 X / 병맥,ㅇ(뒷주방1),,8,2019.11,-
,,강남,서초역,스시사랑,"40,000","90,000",,02-525-2672,일 휴무,문의(2자리),,,런치2부/디너시간예약,통화,서울 서초구 반포대로26길 10 진흥펠리체 1층,-,,,,,,사랑,사랑,,,소주 0.6 / 산토리생 1.2,,,,2016,-
,,강남,역삼역,스시마카세(역삼),"40,000","80,000",1병 FREE,02-554-0105,무휴,가능,,단체석,,네이버예약,서울 강남구 논현로94길 7,,,,,,,まかせ,맡기다,,,소주 0.9 / 산토리생 1만,,,,,-
